repo_to_remove,repo_to_keep,shared_commit_sha,cluster_size,language,stars_removed,stars_kept
datproject/dat-desktop,dat-ecosystem-archive/dat-desktop,474ee9dcc5bae8c915ecb2c7e9c7aaf9f0783820,2,javascript,633,652
vuejs/jsx,vuejs/jsx-vue2,5368c63ec768c070cfc259a506d9de43cb930bdb,2,javascript,1176,1465
photonstorm/phaser-ce,phaserjs/phaser-ce,6a2c2d8e7227ec6770a7a46518e2ba17a162f1db,2,javascript,1316,1385
fredsted/webhook.site,webhooksite/webhook.site,2510266af1c5d064c3ead695f71058edb621f24e,2,javascript,2382,6677
liguobao/58housesearch,liguobao/HouseSearch,ffd5fb08935fa283b76cd377ae7c617b645a9d05,2,javascript,1304,1434
yisainan/vue,yisainan/vue2,5e868fd42f0b0a3e0052a674506c11afed5b0865,2,javascript,541,708
yuliskov/smartyoutubetv,yuliskov/smarttubelegacy,cfb104ed5f9e3f6c273bd5cf8dc6e49646510864,2,javascript,4214,4378
andris9/imapapi,postalsys/emailengine,28d61b7e620835c9ce4816b340aedb9009fb99a6,3,javascript,886,2207
postalsys/imapapi,postalsys/emailengine,28d61b7e620835c9ce4816b340aedb9009fb99a6,3,javascript,925,2207
awslabs/aws-perspective,aws-solutions/workload-discovery-on-aws,d94a1a2da52311f844765ac033d5ad0c1210ef64,2,javascript,529,830
uber/xviz,aurora-opensource/xviz,e5c62e08831dcb2e6a52c3ee527117339af46a2a,2,javascript,799,1002
webpack-contrib/terser-webpack-plugin,webpack/terser-webpack-plugin,809ef42f3ad128693862a535a647305702d11eb8,3,javascript,1961,1962
webpack/minimizer-webpack-plugin,webpack/terser-webpack-plugin,809ef42f3ad128693862a535a647305702d11eb8,3,javascript,1962,1962
sx1989827/doclever,mrwill84/DOClever,0d710dd8e202dda22e714874651a36aa384e1e71,3,javascript,2870,2911
doclever/doclever,mrwill84/DOClever,0d710dd8e202dda22e714874651a36aa384e1e71,3,javascript,2875,2911
hyperledger/caliper,hyperledger-caliper/caliper,bc436e851261adfafc8b3ca7f334c0651e21c876,2,javascript,652,697
protonmail/webclient,protonmail/webclients,07f83b9da81a587c430292e17b02e9d698c53f60,2,javascript,2930,5536
fmartinou/whats-up-docker,getwud/wud,3c665e1fe3fc68099d605b39f6a0350187a712c4,2,javascript,1114,3702
n5ro/aframe-extras,c-frame/aframe-extras,38dc09903c9a74964f065f6f55c6d2f4e3030462,2,javascript,843,1011
skywinder/web3swift,web3swift-team/web3swift,043f872919a2969a05571e8cd2b14b80d5e81635,2,javascript,622,869
boostio/boostnote-legacy,boostio/boostnote,58c4a78be1390cb103f945c9d5f85f377f5252a5,2,javascript,17185,17438
wx-chevalier/web-examples,wx-chevalier/m-fe-boilerplates,c42414336cb1963f5cca4ab89fbc77bbc29036b2,2,javascript,871,871
functionscript/functionscript,acode/functionscript,5485fa57258142048698552872717a35347a9d29,2,javascript,1440,1592
peng-ym/sub-store,sub-store-org/sub-store,37370cccda4a5263b2c4114f260f592ff821068f,2,javascript,1016,10254
postlight/mercury-parser,postlight/parser,b8b90afa95a912b3a5c9f4f2295cfd030ea98052,2,javascript,4293,5349
covid19india/covid19india.github.io,covid19india/covid19india-react,847b46345b772fac9892b078d4e2068e9a967716,2,javascript,6824,6845
hyperledger/blockchain-explorer,hyperledger-labs/blockchain-explorer,5adaa939e6f3116511a9124d8caede8467bc75b7,2,javascript,1208,1396
zoom/sample-app-web,zoom/meetingsdk-web-sample,1a18ccebab315e6dc5e42a06d91f915cb41203d3,2,javascript,560,585
gr2m/twitter-together,twitter-together/action,338460c9980cc5fab1cfdffbf2cad39135c2c7ee,2,javascript,646,698
gemini-testing/hermione,gemini-testing/testplane,75c55809146f7b73d4c2d714b6d076f20f46e959,2,javascript,606,828
frenchyeti/dexcalibur,reversenseorg/dexcalibur,b3242c151a8ff2f032f0cf85dd96cee7f067dd78,2,javascript,1131,1167
artf/grapesjs,grapesjs/grapesjs,c2c64cc45cde20174acd31a23f50057e6615bb13,2,javascript,16551,26106
airbnb/react-dates,react-dates/react-dates,fdcdc457cfeedecd8fc3572db1b6ba15fe3ab44c,2,javascript,11698,12187
khanhas/spicetify-cli,spicetify/cli,aa97f34ca888579f331d170727af72ad5001eb44,3,javascript,9848,24022
spicetify/spicetify-cli,spicetify/cli,aa97f34ca888579f331d170727af72ad5001eb44,3,javascript,17035,24022
magicmark/composerize,composerize/composerize,81a29f1a81d64038f605af7966740fa3bcecf785,2,javascript,2487,3738
mengshukeji/luckysheet,dream-num/luckysheet,6a19bd554e55c2b135169e83e7f3c5a72def11d0,2,javascript,12138,16416
rauenzi/betterdiscordapp,betterdiscord/betterdiscord,1bb613942f17d1fbf02e0a5cb0c791030e3a2fed,2,javascript,2681,9162
notion-enhancer/desktop,notion-enhancer/notion-enhancer,a362f804d97dda4303e16fabd1f0066fdf14dcb3,2,javascript,3667,5006
mindskip/xzs-mysql,mindskip/xzs,3e0d8df546de007309f0c2a438b756832ead5918,2,javascript,3593,3891
robbykraft/origami,rabbit-ear/rabbit-ear,d43be441abc217e5e558fb4e40ae3909afc52ee9,3,javascript,564,565
mayakraft/Origami,rabbit-ear/rabbit-ear,d43be441abc217e5e558fb4e40ae3909afc52ee9,3,javascript,564,565
yaledhlab/pix-plot,pleonard212/pix-plot,6275f26e08dc04672f09e9c2ee43474f6bb1efd7,2,javascript,504,643
bundit/kord-app,bundit/kord,fcdfdb3b0b2e184e0b7f3d36d1b3e0027162aeb9,2,javascript,586,616
ronggang/pt-plugin-plus,pt-plugins/pt-plugin-plus,34df6b7f658bf596156638b4724df1a9efc750e5,2,javascript,3822,7906
kristerkari/stylelint-scss,stylelint-scss/stylelint-scss,2aeaac74a95fcf725343501e3ea8eaaacb2b9f2b,2,javascript,715,880
joepuzzo/informed,teslamotors/informed,e6bd49ad2acbf3482bed698521e282b20e6fb5f5,2,javascript,599,980
ipcjs/bilibili-helper,ipcjs/oh-my-userscripts,4bb9f433ce60316fb901c7c23f1588f5a7178592,2,javascript,4017,4060
nodemailer/wildduck,zone-eu/wildduck,3c8f023ee1556017ce268ddd924229f7271baf79,2,javascript,1955,2110
tridiamond/hexo-theme-obsidian,bennyxguo/hexo-theme-obsidian,3b4a5575488b2bcd56bbda8aade15b2e8d850504,2,javascript,524,707
zhennann/cabloy,cabloy/cabloy,3b450ffb63dffc432de4f04cc3289d275b48f7b2,3,javascript,922,970
cabloy/cabloy-pro,cabloy/cabloy,3b450ffb63dffc432de4f04cc3289d275b48f7b2,3,javascript,929,970
google/blockly-samples,RaspberryPiFoundation/blockly-samples,e516b414b1d8f1631677fd9ba5ace20b1fd6b815,3,javascript,934,974
google-admin/blockly-samples,RaspberryPiFoundation/blockly-samples,e516b414b1d8f1631677fd9ba5ace20b1fd6b815,3,javascript,935,974
imaegoo/twikoo,twikoojs/twikoo,68bb609bb4738c35efb0d28cd857c145f5ba9ccc,2,javascript,1007,2260
gopeak/masterlab,gopeak/dectask,92d6357c0219de6bffdc30c2996e895555846494,2,javascript,1230,1248
uber/streetscape.gl,aurora-opensource/streetscape.gl,0889eb13f89f6a974c8900c6bb3c2a1cffed9aa3,2,javascript,732,860
canove/whaticket,canove/whaticket-community,3717b3c1599cb4f6e6b178dc0ba6bde6804dec90,2,javascript,693,1999
jc21/nginx-proxy-manager,nginxproxymanager/nginx-proxy-manager,6af13d4f40f3735a5026269a1809c5b41f9d08e4,2,javascript,5427,33781
okonet/lint-staged,lint-staged/lint-staged,29a0b68a38d4b74d2ffd265b75b06afd250fe1cf,2,javascript,12200,14708
tobspr/shapez.io,tobspr-games/shapez.io,38a69fbd38ed3520d1676e266a4a8ea359b26ebd,2,javascript,5204,6871
panva/node-openid-client,panva/openid-client,112a29491138c932f2005235bfc263c99e6a4211,2,javascript,1815,2384
steveseguin/obsninja,steveseguin/vdo.ninja,43c5e89c2d8a279d819b2dee5cbce3d81138dd1f,3,javascript,1099,3976
steveseguin/vdoninja,steveseguin/vdo.ninja,43c5e89c2d8a279d819b2dee5cbce3d81138dd1f,3,javascript,1117,3976
vendia/serverless-express,CodeGenieApp/serverless-express,d1a42ef1e443298800d0a4b0c0ca751444623126,2,javascript,4843,5269
vant-ui/vant-weapp,youzan/vant-weapp,cd0fc68de6124572020adcdc890b70c15b6d8dc1,2,javascript,16200,18367
wps/domain-story-modeler,wps/egon.io,0557ca104206192c9f55e768bb26227587de5759,2,javascript,634,834
tannerlinsley/react-table,tanstack/table,4d0a2dd26bf428694c000a7009df74e3c9937761,3,javascript,16055,28274
tanstack/react-table,tanstack/table,4d0a2dd26bf428694c000a7009df74e3c9937761,3,javascript,16754,28274
uber-archive/react-vis,uber/react-vis,2ac4544b9ea3abf0861d2a0268f2746301cefdbf,2,javascript,8372,8738
jeffreyway/laravel-mix,laravel-mix/laravel-mix,b112e13d0a3fb5602872b29bde497e4e96f78230,2,javascript,4785,5191
tarikhuber/react-most-wanted,ecronix/react-most-wanted,f62b54f541209f98f75fe1ecaba3c8ed1eed99f3,2,javascript,2415,2423
opensource9ja/danfojs,javascriptdata/danfojs,1870bc6f67ec733b8bf9544a3d786bcb92a68602,2,javascript,1763,5050
concentjs/concent,heluxjs/helux,f7027c942869cbeafa59713e93f23016fb236f5b,2,javascript,1149,1389
samirkumardas/jmuxer,webstream-labs/jmuxer,f02191d1668f76c7b1e6fee2df240e4c2a23a4a0,2,javascript,613,636
pschroen/alien.js,alienkitty/alien.js,afeaf180ea08398f06ddcc9878bf0384ff92fd0a,2,javascript,544,1014
leaverou/color.js,color-js/color.js,5334b8e2cf4f95b808c42f6e476ed9456eef88b1,2,javascript,1523,2286
pavjacko/renative,flexn-io/renative,009135e4ae2936e48a1180a27c95c95a8e64bd4b,3,javascript,1366,1950
renative-org/renative,flexn-io/renative,009135e4ae2936e48a1180a27c95c95a8e64bd4b,3,javascript,1596,1950
jaggedsoft/node-binance-api,ccxt/node-binance-api,7cbe4276c66519f55e228b84c8951a966310b92e,3,javascript,1556,1663
carlosmiei/node-binance-api,ccxt/node-binance-api,7cbe4276c66519f55e228b84c8951a966310b92e,3,javascript,1596,1663
tfedor/augmentedsteam,isthereanydeal/augmentedsteam,391ab6bad1beb59b227e9cf1c63d83a4a994554a,2,javascript,613,1760
raindropio/mobile,raindropio/android,bd7085833e036d1a731b72b4dc6775510100955f,2,javascript,620,648
airensoft/ovenplayer,OvenMediaLabs/OvenPlayer,8c7b4a76818f775b2f8e9e53ab93f5b48dd737e1,2,javascript,571,584
photonstorm/phaser3-examples,phaserjs/examples,d22f82b248c0086f9afc8567cbbab205aed2388e,2,javascript,1424,1658
30-seconds/30-seconds-of-code,Chalarangelo/30-seconds-of-code,0c3f139b355f2eeff80797e4f3b09cd3aa4ce656,2,javascript,115518,128659
facebook/draft-js,facebookarchive/draft-js,effdd3a66176adc61ed1ff321009a7b2741ea5ef,2,javascript,22145,22318
facebook/metro,react/metro,4d9908bf0298765af02ae8574ff15807ee5a6217,2,javascript,5598,5621
pedroslopez/whatsapp-web.js,wwebjs/whatsapp-web.js,1bdc7335d81559ded2f1a2ce2a0b975f9ec64124,2,javascript,21354,22379
facultyai/dash-bootstrap-components,dbc-team/dash-bootstrap-components,b1b900f1c949210db9043dd679e6506c88fc6238,2,javascript,1161,1198
snowpackjs/snowpack,withastro/snowpack,36c2a6772bc87ed1ea0e1ef626fea5cb8a399935,3,javascript,19493,19771
fredkschott/snowpack,withastro/snowpack,36c2a6772bc87ed1ea0e1ef626fea5cb8a399935,3,javascript,19680,19771
twake/twake,linagora/twake,0f2bbaf1a0ee566c53fa168c1446fbc40c9c1484,2,javascript,854,1905
llk/scratch-vm,scratchfoundation/scratch-vm,b00539810d65d752190dffb30f88e7402812b744,2,javascript,1011,1302
amzn/style-dictionary,style-dictionary/style-dictionary,32787f8a133a61f6132cef4bb88922f72951b804,2,javascript,4162,4764
troyeguo/koodo-reader,koodo-reader/koodo-reader,5c529b30448cfc54d70339d1363f047b6a5af95f,2,javascript,11908,27838
google/web-stories-wp,googleforcreators/web-stories-wp,ecbd94faf27f7fafd6c1f3b6a6b973e225a6e273,2,javascript,640,798
sap/luigi,luigi-project/luigi,987d377f30ce10cf11589779943f6bb443a3b215,2,javascript,867,920
mozilla/hubs,Hubs-Foundation/hubs,2b015d133bfe47c91137b3c076773f0400e0596b,2,javascript,2115,2207
mozilla/spoke,Hubs-Foundation/Spoke,7f2080012a8cfde04fdfdd5f6c08e55188a84c0a,2,javascript,643,679
webpack/mini-css-extract-plugin,webpack-contrib/mini-css-extract-plugin,359c00fa7f02f2dc662c461ac7cc926a7b61c9bd,2,javascript,4663,4669
aidaho12/haproxy-wi,roxy-wi/roxy-wi,ee25c4b93ec3e40b4433efaf7e68f6a69f98c6ac,4,javascript,852,1815
hap-wi/haproxy-wi,roxy-wi/roxy-wi,ee25c4b93ec3e40b4433efaf7e68f6a69f98c6ac,4,javascript,870,1815
hap-wi/roxy-wi,roxy-wi/roxy-wi,ee25c4b93ec3e40b4433efaf7e68f6a69f98c6ac,4,python,1191,1815
vfat-tools/vfat-tools,vfat-io/vfat-tools,3524cb1130f16363748ec11d59fcd1bba08e0676,2,javascript,824,898
popperjs/popper-core,floating-ui/floating-ui,24cb3a88d5108d2a42126c8ab3899ee95259ef18,2,javascript,18361,32689
11ty/eleventy,11ty/buildawesome,8a47a0752fc91c2d76a7dd451e0da8d7b6e3b9de,2,javascript,19697,19840
fonoster/fonos,fonoster/fonoster,e800118c7f755686f5c92e49725336efb5b2bc72,2,javascript,2305,8040
code4charity/youtube-extension,code-charity/youtube,7aecc8ea9ced206de8da32332262110135a3c1c1,5,javascript,1719,4524
code-for-charity/youtube-extension,code-charity/youtube,7aecc8ea9ced206de8da32332262110135a3c1c1,5,javascript,2202,4524
code-for-charity/improvedtube-for-youtube,code-charity/youtube,7aecc8ea9ced206de8da32332262110135a3c1c1,5,javascript,2376,4524
code-charity/ImprovedTube,code-charity/youtube,7aecc8ea9ced206de8da32332262110135a3c1c1,5,javascript,4225,4524
jens-maus/raspberrymatic,OpenCCU/OpenCCU,61c77a629d6625aca30fddbd2796508d195f3d41,2,javascript,1663,1820
zadam/trilium,TriliumNext/trilium,1c75ea89ad983593e49ec3ca2daf9bbf64f6c81d,2,javascript,26506,37277
llk/scratch-gui,scratchfoundation/scratch-gui,2c6a5d082a83c68a50dd12f73a8f43eaed6fd9c7,2,javascript,3871,4795
llk/scratch-blocks,scratchfoundation/scratch-blocks,32b6bedd839b34c11e6be2b8c9de24f420ebd518,2,javascript,2235,2759
djscias/discord-datamining,discord-datamining/discord-datamining,2d5978640841b72ad9fb27fcdea31bf0690d28d3,2,javascript,590,1837
mrin9/rapidoc,rapi-doc/rapidoc,ef0e637d7bb6769bd9fdc88dd8b79f83c334b68f,2,javascript,927,1880
mikecao/umami,umami-software/umami,34bcf45ae7eee187fbac8892579415f12b02265f,2,javascript,11855,38069
flybywiresim/a32nx,flybywiresim/aircraft,ad7146122e7852052e39a4a6bd510a9f5c101043,2,javascript,4327,5395
quiteafancyemerald/holy-unblocker,QuiteAFancyEmerald/InvisiProxy,1df25b87931910efda74d7b71373789975a9ec85,2,javascript,1326,1492
traduora/traduora,ever-co/ever-traduora,ec68e390c153c73a53631be25aa7c0e9ce0b6941,2,typescript,1460,2122
leleat/tiling-assistant,ubuntu/Tiling-Assistant,2ebbf58c5402671596908a6fa708e77d5fa2613f,2,javascript,1267,1281
github/safe-settings,github-community-projects/safe-settings,a2cfab513a2361da4c0fbd7709590299acba0ffa,2,javascript,890,907
jshjohnson/choices,choices-js/choices,ebbea8c3b0f20473e05112f61bc8ce3bd6bf12da,2,typescript,4360,6814
apple-music-electron/apple-music-electron,ciderapp/apple-music-electron,51c9d4c853be21975d4a9cc5f84faa84fe2118d9,2,javascript,789,863
dvmarinoff/flux,dvmarinoff/Auuki,36c9be2e375314b6862cfadf327439a0b177e874,2,javascript,540,847
deadlyjack/acode,Acode-Foundation/Acode,cae4c1645f64c9b0bb9415fc80a7035b001b308e,2,javascript,2935,6459
alcor/itty-bitty,arfct/itty-bitty,864a271c09896451eb334c0ba3c6101020a23bdc,2,javascript,3314,3451
idurar/erp-crm,idurar/idurar-erp-crm,58e6e98bb77fad1b5ae7a0982431b9dd67bf1841,2,javascript,1385,8396
webcatalog/webcatalog-legacy,webcatalog/webcatalog-classic,3e7836da4c9f109c09aa3068021ac3250a9404f6,2,javascript,508,509
rstudio-education/datascience-box,tidyverse/datascience-box,aeb8987ead8189fd9846304eef68303c02752a45,2,javascript,837,1007
jamesmfriedman/rmwc,rmwc/rmwc,a59d93fe568b3a5d30806d99e23553e30b502a32,2,typescript,1599,1666
antoine92190/vue-advanced-chat,advanced-chat/vue-advanced-chat,ed9f6805eb65f02479b1c09cd886417a1e66b69a,2,javascript,1323,2000
elimintz/justpy,justpy-org/justpy,f878a28babfa67d5ceccc13afa03e21f97a63708,2,python,807,1272
cyclonedx/cdxgen,cdxgen/cdxgen,6b57c4ca2345d3c1b91a948d0d6a2bdec8b19959,2,javascript,855,1034
felienne/hedy,hedyorg/hedy,c66ef9e3a26f0d350c584f8fe61fca4d181097f1,2,python,662,1119
reactjs/reactjs.org,reactjs/react.dev,7a11d71b384d41c21dd5d475b96d45b5497ade76,2,typescript,7676,11778
GrabarzUndPartner/nuxt-speedkit,basics/nuxt-booster,3aa196eb99cb7ca8a32529a484a4f44952d4222b,2,javascript,571,862
module-federation/universe,module-federation/core,d3273c0147868109d5ae983cdf527aaf8cac6c5e,2,typescript,881,2610
weave-cms/weavecms,palalabs/palacms,efce85c02a917d27ca77c99f6f0823bb52821537,3,javascript,2143,2223
palacms/PalaCMS,palalabs/palacms,efce85c02a917d27ca77c99f6f0823bb52821537,3,javascript,2218,2223
seeksdream/relation-graph,relation-graph/relation-graph,b2ddeb5d79546e6ec581a238e2406665db23130a,2,typescript,2184,2241
ousret/charset_normalizer,jawah/charset_normalizer,a90a899723c4ef3ef4fd8936bde37f3ba237e087,2,python,528,782
pytorch/tnt,meta-pytorch/tnt,32ab2bcb3851adab079123f2e8584bb307e04fd5,2,python,1712,1721
meetshah1995/pytorch-semseg,meetps/pytorch-semseg,801fb200547caa5b0d91b8dde56b837da029f746,2,python,3051,3355
zhaoj9014/face.evolve.pytorch,zhaoj9014/face.evolve,d5e31893f7e30c0f82262e701463fd83d9725381,2,python,2494,3494
wonderworks-software/pyflow,pedroCabrera/PyFlow,57e2c858933bf63890d769d985396dfad0fca0f0,2,python,2386,2934
whaleshark-team/cobra,feeicn/cobra,02f16219bcb0b92e70e33c46c5e0f91ed1caf172,2,python,2702,2925
deepmind/pysc2,google-deepmind/pysc2,05b28ef0d85aa5eef811bc49ff4c0cbe496c0adb,2,python,7769,7972
wetw0rk/sickle,wetw0rk/sickle-pdk,e14c0bbf65500697baaad6a3bf1fe6012b0e0037,2,python,826,870
mdbartos/pysheds,pysheds/pysheds,dbb1519570719e0990504857c0aac1ddd6373876,2,python,808,886
tencent/bk-paas,tencentblueking/legacy-bk-paas,74776a20f5de30dd4af4281a1b82b8f46ceefa6a,2,python,782,859
vitchyr/rlkit,rail-berkeley/rlkit,5274672e9ff6481def0ffed61cd1b1c52210a840,2,python,1507,2397
ruotianluo/self-critical.pytorch,ruotianluo/imagecaptioning.pytorch,c305eb009f3559da7041e57a4ff2296c35c71cce,2,python,974,1392
tecladocode/rest-api-sections,tecladocode/rest-apis-flask-python,ca4e12985098937c1a6bb5fdd9e8e80890674957,2,python,684,1409
zappa/zappa,miserlou/zappa,542c8c60291ebc5ece03b8dd4abe9e0172715086,2,python,3692,11889
fsecurelabs/awspx,withsecurelabs/awspx,dd7bf0b08e4ae9e44891592c55fd2b8ac85dbd0b,2,python,593,753
poodarchu/det3d,V2AI/Det3D,7a74d36d12efca02026ec42509c636dd074770a4,2,python,1356,1444
libp2p/py-libp2p,ethereum/py-evm,57f829250d5704e12f9bbd347fcaf565f7c596fa,2,python,621,2355
dhi-gras/terracotta,DHI/terracotta,018c4f7a059086e0eee6f923370b7a03cd8ff70a,2,python,613,751
anitagraser/movingpandas,movingpandas/movingpandas,069956d605db16f8abe4bddd470755f674b4eb27,2,python,901,1407
polygon-io/client-python,massive-com/client-python,fd5384c5e74c27c7516173c55c42ac8bba5afd20,2,python,1199,1477
