repo_name,language,commit_sha,file_path,fixture_name,fixture_type,start_line,end_line,loc,framework,num_mocks,scope,cyclomatic_complexity,max_nesting_depth,num_parameters,num_objects_instantiated,num_external_calls,has_teardown_pair,github_url,agent_type,commit_kind,commit_type,raw_source,commit_date,repo_age_at_commit_years,is_complete_addition
graylog2/graylog2-server,typescript,063d8ad99212a2eec31456ed6e5b708ac7ebb05b,graylog2-web-interface/src/components/collectors/hooks/useInstanceQueries.test.ts,<anonymous>_49,before_each,50,52,3,,0,per_test,1,1,0,0,0,0,https://github.com/graylog2/graylog2-server/blob/063d8ad99212a2eec31456ed6e5b708ac7ebb05b/graylog2-web-interface/src/components/collectors/hooks/useInstanceQueries.test.ts#L50-L52,claude,agent,none,"beforeEach(() => {
    jest.clearAllMocks();
  })",2026-06-30,16.11772758384668,1
graylog2/graylog2-server,typescript,063d8ad99212a2eec31456ed6e5b708ac7ebb05b,graylog2-web-interface/src/components/collectors/overview/CollectorsOverview.test.tsx,<anonymous>_91,before_each,92,95,4,,1,per_test,1,1,0,0,0,0,https://github.com/graylog2/graylog2-server/blob/063d8ad99212a2eec31456ed6e5b708ac7ebb05b/graylog2-web-interface/src/components/collectors/overview/CollectorsOverview.test.tsx#L92-L95,claude,agent,none,"beforeEach(() => {
    asMock(useSendCollectorsTelemetry).mockReturnValue(jest.fn());
    asMock(useFleetsBulkStats).mockReturnValue({ data: { fleets: [] }, isLoading: false, isError: false } as never);
  })",2026-06-30,16.11772758384668,1
graylog2/graylog2-server,typescript,063d8ad99212a2eec31456ed6e5b708ac7ebb05b,graylog2-web-interface/src/components/collectors/overview/FirstOnboarding.test.tsx,<anonymous>_118,before_each,119,139,21,,0,per_test,1,1,0,0,0,0,https://github.com/graylog2/graylog2-server/blob/063d8ad99212a2eec31456ed6e5b708ac7ebb05b/graylog2-web-interface/src/components/collectors/overview/FirstOnboarding.test.tsx#L119-L139,claude,agent,none,"beforeEach(() => {
    jest.clearAllMocks();
    asMock(useCollectorsConfig).mockReturnValue({ data: mockConfig, isLoading: false });
    asMock(useFleets).mockReturnValue({ data: mockFleets, isLoading: false });
    asMock(useCollectorsMutations).mockReturnValue(
      mockCollectorsMutations({ createEnrollmentToken, createFleet, createSource }),
    );
    createEnrollmentToken.mockResolvedValue({
      token: 'test-token-abc',
      fleet_id: 'fleet-1',
      expires_at: '2026-06-04T00:00:00Z',
    });
    createFleet.mockResolvedValue({
      id: 'new-fleet-id',
      name: 'Onboarding - 2026-05-28',
      description: 'Created by Graylog 7.1 onboarding wizard',
      created_at: '2026-05-28T00:00:00Z',
      updated_at: '2026-05-28T00:00:00Z',
    });
    createSource.mockResolvedValue({});
  })",2026-06-30,16.11772758384668,1
graylog2/graylog2-server,typescript,063d8ad99212a2eec31456ed6e5b708ac7ebb05b,graylog2-web-interface/src/components/collectors/overview/onboarding/ConnectionSuccess.test.tsx,<anonymous>_46,before_each,47,67,19,,0,per_test,1,1,0,0,0,0,https://github.com/graylog2/graylog2-server/blob/063d8ad99212a2eec31456ed6e5b708ac7ebb05b/graylog2-web-interface/src/components/collectors/overview/onboarding/ConnectionSuccess.test.tsx#L47-L67,claude,agent,none,"beforeEach(() => {
    jest.clearAllMocks();

    asMock(useCollectorLogPreview).mockReturnValue({
      sourceLogs: {
        messages: [{ id: 'm1', timestamp: '2026-06-10T12:00:30.000Z', text: 'a source log line' }],
        total: 23,
      },
      selfLogs: {
        messages: [{ id: 'm2', timestamp: '2026-06-10T12:00:10.000Z', text: 'collector started' }],
        total: 7,
      },
      selfLogsError: null,
      sourceLogsError: null,
      isLoading: false,
    });

    asMock(useSources).mockReturnValue({
      data: [{ id: 's1' }, { id: 's2' }],
    } as ReturnType<typeof useSources>);
  })",2026-06-30,16.11772758384668,1
graylog2/graylog2-server,typescript,063d8ad99212a2eec31456ed6e5b708ac7ebb05b,graylog2-web-interface/src/components/collectors/overview/onboarding/PlatformPicker.test.tsx,<anonymous>_25,before_each,26,28,3,,0,per_test,1,1,0,0,0,0,https://github.com/graylog2/graylog2-server/blob/063d8ad99212a2eec31456ed6e5b708ac7ebb05b/graylog2-web-interface/src/components/collectors/overview/onboarding/PlatformPicker.test.tsx#L26-L28,claude,agent,none,"beforeEach(() => {
    onSelect.mockClear();
  })",2026-06-30,16.11772758384668,1
graylog2/graylog2-server,typescript,063d8ad99212a2eec31456ed6e5b708ac7ebb05b,graylog2-web-interface/src/components/collectors/overview/onboarding/WaitingForConnection.test.tsx,<anonymous>_50,before_each,51,53,3,,0,per_test,1,1,0,0,0,0,https://github.com/graylog2/graylog2-server/blob/063d8ad99212a2eec31456ed6e5b708ac7ebb05b/graylog2-web-interface/src/components/collectors/overview/onboarding/WaitingForConnection.test.tsx#L51-L53,claude,agent,none,"beforeEach(() => {
    jest.clearAllMocks();
  })",2026-06-30,16.11772758384668,1
graylog2/graylog2-server,typescript,063d8ad99212a2eec31456ed6e5b708ac7ebb05b,graylog2-web-interface/src/components/collectors/overview/onboarding/useCollectorLogPreview.test.ts,<anonymous>_40,before_each,41,46,5,,0,per_test,1,1,0,0,0,0,https://github.com/graylog2/graylog2-server/blob/063d8ad99212a2eec31456ed6e5b708ac7ebb05b/graylog2-web-interface/src/components/collectors/overview/onboarding/useCollectorLogPreview.test.ts#L41-L46,claude,agent,none,"beforeEach(() => {
    jest.clearAllMocks();

    asMock(createSearch).mockImplementation(async (search: Search) => search);
    asMock(startJob).mockResolvedValue({ asyncSearchId: 'job-1', nodeId: 'node-1' });
  })",2026-06-30,16.11772758384668,1
graylog2/graylog2-server,typescript,063d8ad99212a2eec31456ed6e5b708ac7ebb05b,graylog2-web-interface/src/pages/CollectorsOnboardingInstancePage.test.tsx,<anonymous>_90,before_each,91,97,6,,0,per_test,1,1,0,0,0,0,https://github.com/graylog2/graylog2-server/blob/063d8ad99212a2eec31456ed6e5b708ac7ebb05b/graylog2-web-interface/src/pages/CollectorsOnboardingInstancePage.test.tsx#L91-L97,claude,agent,none,"beforeEach(() => {
    jest.clearAllMocks();

    mockUseLocation.mockReturnValue({ state: null });
    mockInstanceLookup();
    asMock(useFleet).mockReturnValue({ data: { id: 'fleet-1', name: 'Default Fleet' } } as ReturnType<typeof useFleet>);
  })",2026-06-30,16.11772758384668,1
kestra-io/kestra,typescript,cdbec44f1aae350361e5c874fae90019ad89bd26,ui/tests/unit/utils/utils.spec.ts,<anonymous>_17,before_each,18,22,5,,0,per_test,1,1,0,0,0,0,https://github.com/kestra-io/kestra/blob/cdbec44f1aae350361e5c874fae90019ad89bd26/ui/tests/unit/utils/utils.spec.ts#L18-L22,claude,agent,feat,"beforeEach(() => {
        localStorage.clear()
        document.documentElement.className = """"
        mockSystemPrefersDark(false)
    })",2026-06-04,6.776180698151951,1
kestra-io/kestra,typescript,fc334c004bb1a79a4e7ae700626dd17ad1a64336,ui/packages/design-system/tests/units/Data/KsFilter/AdvancedFilterBuilder.test.ts,<anonymous>_62,after_each,63,65,3,,0,per_test,1,1,0,0,0,0,https://github.com/kestra-io/kestra/blob/fc334c004bb1a79a4e7ae700626dd17ad1a64336/ui/packages/design-system/tests/units/Data/KsFilter/AdvancedFilterBuilder.test.ts#L63-L65,claude,agent,feat,"afterEach(() => {
    document.body.innerHTML = """"
})",2026-06-16,6.809034907597536,1
