repo_name,language,commit_sha,file_path,fixture_name,fixture_type,start_line,end_line,loc,framework,num_mocks,is_complete_addition
brasilapi/brasilapi,javascript,e23dd0c1b21a625d7b4fe52ccd799739517cd397,tests/services/isbn/searchInMercadoEditorial.test.js,<anonymous>_7,before_each,8,10,3,,0,1
brasilapi/brasilapi,javascript,94537d39b6e5d4b71425006ace020bea033c6e76,tests/tuss-v1.test.js,<anonymous>_9,before_all,10,12,3,,0,1
brasilapi/brasilapi,javascript,94537d39b6e5d4b71425006ace020bea033c6e76,tests/tuss-v1.test.js,<anonymous>_79,before_all,80,82,3,,0,1
brasilapi/brasilapi,javascript,94537d39b6e5d4b71425006ace020bea033c6e76,tests/tuss-v1.test.js,<anonymous>_130,before_all,131,133,3,,0,1
brasilapi/brasilapi,javascript,7c7315d7169668131d515d0fbe27be8780c8b887,tests/cnpj-v1.test.js,<anonymous>_8,before_all,9,11,3,,0,1
brasilapi/brasilapi,javascript,7c7315d7169668131d515d0fbe27be8780c8b887,tests/ddd-v1.test.js,<anonymous>_9,before_all,10,12,3,,0,1
brasilapi/brasilapi,javascript,7c7315d7169668131d515d0fbe27be8780c8b887,tests/helpers/cors.js,<anonymous>_7,before_each,8,10,3,,0,1
brasilapi/brasilapi,javascript,7c7315d7169668131d515d0fbe27be8780c8b887,tests/helpers/server/setup.js,<anonymous>_3,before_all,4,40,32,,0,1
brasilapi/brasilapi,javascript,7c7315d7169668131d515d0fbe27be8780c8b887,tests/isbn-v1.test.js,<anonymous>_8,before_all,9,11,3,,0,1
brasilapi/brasilapi,javascript,7c7315d7169668131d515d0fbe27be8780c8b887,tests/pix-v1.test.js,<anonymous>_8,before_all,9,11,3,,0,1
brasilapi/brasilapi,javascript,7c7315d7169668131d515d0fbe27be8780c8b887,tests/registrobr.test.js,<anonymous>_8,before_all,9,11,3,,0,1
brasilapi/brasilapi,javascript,7c7315d7169668131d515d0fbe27be8780c8b887,tests/taxas-v1.test.js,<anonymous>_8,before_all,9,11,3,,0,1
haraka/haraka,javascript,a3cfdec844b5a88c10ed6ddb3b5956343cb9f9f0,test/connection.js,<anonymous>_680,before_each,681,681,1,,0,1
haraka/haraka,javascript,a3cfdec844b5a88c10ed6ddb3b5956343cb9f9f0,test/plugins/queue/qmail-queue.js,<anonymous>_65,before_each,66,68,3,,0,1
haraka/haraka,javascript,a3cfdec844b5a88c10ed6ddb3b5956343cb9f9f0,test/plugins/queue/smtp_forward.js,<anonymous>_156,before_each,157,163,7,,0,1
haraka/haraka,javascript,a3cfdec844b5a88c10ed6ddb3b5956343cb9f9f0,test/plugins/queue/smtp_forward.js,<anonymous>_164,after_each,165,168,4,,0,1
haraka/haraka,javascript,a3cfdec844b5a88c10ed6ddb3b5956343cb9f9f0,test/plugins/queue/smtp_proxy.js,<anonymous>_108,before_each,109,116,8,,0,1
haraka/haraka,javascript,a3cfdec844b5a88c10ed6ddb3b5956343cb9f9f0,test/plugins/queue/smtp_proxy.js,<anonymous>_117,after_each,118,121,4,,0,1
haraka/haraka,javascript,3ae9e4636e5530d995355a78a97d3b0e072d1b99,test/connection.js,<anonymous>_447,before_each,448,448,1,,0,1
haraka/haraka,javascript,3ae9e4636e5530d995355a78a97d3b0e072d1b99,test/connection.js,<anonymous>_557,before_each,558,558,1,,0,1
haraka/haraka,javascript,3ae9e4636e5530d995355a78a97d3b0e072d1b99,test/outbound/index.js,<anonymous>_190,before_each,191,194,4,,0,1
haraka/haraka,javascript,3ae9e4636e5530d995355a78a97d3b0e072d1b99,test/outbound/index.js,<anonymous>_195,after_each,196,203,8,,0,1
haraka/haraka,javascript,3ae9e4636e5530d995355a78a97d3b0e072d1b99,test/server.js,<anonymous>_258,before_each,259,263,5,,0,1
haraka/haraka,javascript,3ae9e4636e5530d995355a78a97d3b0e072d1b99,test/server.js,<anonymous>_370,before_each,371,373,3,,0,1
haraka/haraka,javascript,6e953b961276c638a05f05ee7f1025c9192bc89d,test/server.js,<anonymous>_130,before_each,131,134,4,,0,1
haraka/haraka,javascript,6e953b961276c638a05f05ee7f1025c9192bc89d,test/server.js,<anonymous>_192,before_each,193,196,4,,0,1
haraka/haraka,javascript,6e953b961276c638a05f05ee7f1025c9192bc89d,test/server.js,<anonymous>_246,before_each,247,250,4,,0,1
haraka/haraka,javascript,6e953b961276c638a05f05ee7f1025c9192bc89d,test/server.js,<anonymous>_258,before_each,259,259,1,,0,1
haraka/haraka,javascript,6e953b961276c638a05f05ee7f1025c9192bc89d,test/server.js,<anonymous>_259,after_each,260,260,1,,0,1
haraka/haraka,javascript,6e953b961276c638a05f05ee7f1025c9192bc89d,test/server.js,<anonymous>_285,before_each,286,286,1,,0,1
haraka/haraka,javascript,6e953b961276c638a05f05ee7f1025c9192bc89d,test/server.js,<anonymous>_286,after_each,287,287,1,,0,1
haraka/haraka,javascript,6e953b961276c638a05f05ee7f1025c9192bc89d,test/server.js,<anonymous>_315,before_each,316,316,1,,0,1
haraka/haraka,javascript,6e953b961276c638a05f05ee7f1025c9192bc89d,test/server.js,<anonymous>_316,after_each,317,317,1,,0,1
