repo_name,language,commit_sha,file_path,fixture_name,fixture_type,start_line,end_line,loc,framework,num_mocks,scope,cyclomatic_complexity,max_nesting_depth,num_parameters,num_objects_instantiated,num_external_calls,reuse_count,has_teardown_pair,github_url,agent_type,commit_kind,is_complete_addition
openzipkin/zipkin,java,4fb8d5afeed32bd7af49bfac249e73bb4c56fbe5,zipkin-storage/elasticsearch/src/test/java/zipkin2/elasticsearch/internal/client/HttpCallTest.java,setUp,junit5_before_each,66,68,3,junit,0,per_test,1,2,0,0,0,1,0,https://github.com/openzipkin/zipkin/blob/4fb8d5afeed32bd7af49bfac249e73bb4c56fbe5/zipkin-storage/elasticsearch/src/test/java/zipkin2/elasticsearch/internal/client/HttpCallTest.java#L66-L68,human_pre2022,human,1
openzipkin/zipkin,java,4fb8d5afeed32bd7af49bfac249e73bb4c56fbe5,zipkin-server/src/test/java/zipkin2/server/internal/elasticsearch/ZipkinElasticsearchStorageConfigurationTest.java,two,spring_bean,135,137,3,junit,0,per_class,1,2,0,0,0,2,0,https://github.com/openzipkin/zipkin/blob/4fb8d5afeed32bd7af49bfac249e73bb4c56fbe5/zipkin-server/src/test/java/zipkin2/server/internal/elasticsearch/ZipkinElasticsearchStorageConfigurationTest.java#L135-L137,human_pre2022,human,1
openzipkin/zipkin,java,4fb8d5afeed32bd7af49bfac249e73bb4c56fbe5,zipkin-tests/src/test/java/zipkin2/EndpointTest.java,<anonymous>_24,junit_rule,25,25,1,junit,0,per_test,1,1,0,0,0,1,0,https://github.com/openzipkin/zipkin/blob/4fb8d5afeed32bd7af49bfac249e73bb4c56fbe5/zipkin-tests/src/test/java/zipkin2/EndpointTest.java#L25-L25,human_pre2022,human,1
openzipkin/zipkin,java,4fb8d5afeed32bd7af49bfac249e73bb4c56fbe5,benchmarks/src/test/java/zipkin2/server/ServerIntegratedBenchmark.java,setUp,junit5_before_each,80,82,3,junit,0,per_test,1,2,0,0,0,1,1,https://github.com/openzipkin/zipkin/blob/4fb8d5afeed32bd7af49bfac249e73bb4c56fbe5/benchmarks/src/test/java/zipkin2/server/ServerIntegratedBenchmark.java#L80-L82,human_pre2022,human,1
openzipkin/zipkin,java,4fb8d5afeed32bd7af49bfac249e73bb4c56fbe5,zipkin-tests/src/test/java/zipkin2/internal/V1ThriftSpanWriterTest.java,init,junit4_before,43,45,3,junit,0,per_test,1,2,0,0,0,1,0,https://github.com/openzipkin/zipkin/blob/4fb8d5afeed32bd7af49bfac249e73bb4c56fbe5/zipkin-tests/src/test/java/zipkin2/internal/V1ThriftSpanWriterTest.java#L43-L45,human_pre2022,human,1
openzipkin/zipkin,java,4fb8d5afeed32bd7af49bfac249e73bb4c56fbe5,zipkin-server/src/test/java/zipkin2/server/internal/elasticsearch/ITElasticsearchNoVerify.java,init,junit5_before_each,40,51,12,junit,0,per_test,1,2,0,0,0,1,1,https://github.com/openzipkin/zipkin/blob/4fb8d5afeed32bd7af49bfac249e73bb4c56fbe5/zipkin-server/src/test/java/zipkin2/server/internal/elasticsearch/ITElasticsearchNoVerify.java#L40-L51,human_pre2022,human,1
openzipkin/zipkin,java,4fb8d5afeed32bd7af49bfac249e73bb4c56fbe5,zipkin-collector/kafka/src/test/java/zipkin2/collector/kafka/ITKafkaCollector.java,setup,junit5_before_each,71,77,7,junit,0,per_test,1,2,0,3,0,1,1,https://github.com/openzipkin/zipkin/blob/4fb8d5afeed32bd7af49bfac249e73bb4c56fbe5/zipkin-collector/kafka/src/test/java/zipkin2/collector/kafka/ITKafkaCollector.java#L71-L77,human_pre2022,human,1
openzipkin/zipkin,java,4fb8d5afeed32bd7af49bfac249e73bb4c56fbe5,zipkin-server/src/test/java/zipkin2/server/internal/InMemoryConfiguration.java,metrics,spring_bean,29,31,3,junit,0,per_class,1,2,0,0,0,3,0,https://github.com/openzipkin/zipkin/blob/4fb8d5afeed32bd7af49bfac249e73bb4c56fbe5/zipkin-server/src/test/java/zipkin2/server/internal/InMemoryConfiguration.java#L29-L31,human_pre2022,human,1
openzipkin/zipkin,java,4fb8d5afeed32bd7af49bfac249e73bb4c56fbe5,zipkin-server/src/test/java/zipkin2/server/internal/ZipkinHttpConfigurationTest.java,registry,spring_bean,101,103,3,junit,0,per_class,1,2,0,1,0,2,0,https://github.com/openzipkin/zipkin/blob/4fb8d5afeed32bd7af49bfac249e73bb4c56fbe5/zipkin-server/src/test/java/zipkin2/server/internal/ZipkinHttpConfigurationTest.java#L101-L103,human_pre2022,human,1
openzipkin/zipkin,java,4fb8d5afeed32bd7af49bfac249e73bb4c56fbe5,zipkin-collector/activemq/src/test/java/zipkin2/collector/activemq/ITActiveMQCollector.java,<anonymous>_52,junit_rule,53,53,1,junit,0,per_test,1,1,0,2,0,1,0,https://github.com/openzipkin/zipkin/blob/4fb8d5afeed32bd7af49bfac249e73bb4c56fbe5/zipkin-collector/activemq/src/test/java/zipkin2/collector/activemq/ITActiveMQCollector.java#L53-L53,human_pre2022,human,1
